Transaction_ID,Date,Time,Day_of_Week,Product_Name,Category,Quantity,Unit_Price,Total_Amount,Payment_Mode,Customer_Type,Is_Festival_Period
5001,2025-09-30,15:42:07,Tuesday,Mineral Water (20L),Beverages,4,80,320,Credit Card,Member,No
5001,2025-09-30,15:42:07,Tuesday,Green Chilies (250g),Fresh Produce,1,15,15,Credit Card,Member,No
5001,2025-09-30,15:42:07,Tuesday,Tata Salt (1kg),Groceries,1,24,24,Credit Card,Member,No
5002,2025-09-30,18:52:01,Tuesday,Atta (Wheat Flour) (1kg),Groceries,3,42,126,UPI,Member,No
5003,2025-09-30,20:44:40,Tuesday,Toor Dal (1kg),Groceries,1,135,135,Debit Card,Member,No
5003,2025-09-30,20:44:40,Tuesday,Green Chilies (250g),Fresh Produce,3,15,45,Debit Card,Member,No
5003,2025-09-30,20:44:40,Tuesday,Bananas (Robusta) (Dozen),Fresh Produce,1,50,50,Debit Card,Member,No
5004,2025-09-30,19:08:14,Tuesday,Paneer (200g),Dairy,2,95,190,Cash,Member,No
5005,2025-09-30,20:12:40,Tuesday,Good Day Biscuits,Snacks,2,30,60,Cash,Member,No
5006,2025-09-30,20:05:31,Tuesday,Potatoes (1kg),Fresh Produce,3,28,84,Cash,Walk-in,No
5006,2025-09-30,20:05:31,Tuesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Cash,Walk-in,No
5006,2025-09-30,20:05:31,Tuesday,Tomatoes (Local) (1kg),Fresh Produce,5,35,175,Cash,Walk-in,No
5007,2025-09-30,10:47:56,Tuesday,Tomatoes (Local) (1kg),Fresh Produce,1,35,35,UPI,Walk-in,No
5007,2025-09-30,10:47:56,Tuesday,Eggs (Tray 30),Dairy,1,180,180,UPI,Walk-in,No
5008,2025-09-30,09:13:20,Tuesday,Full Cream Milk (500ml),Dairy,7,34,238,Debit Card,Member,No
5008,2025-09-30,09:13:20,Tuesday,Eggs (Tray 30),Dairy,1,180,180,Debit Card,Member,No
5008,2025-09-30,09:13:20,Tuesday,Santoor Soap (4 Pack),Personal Care,1,140,140,Debit Card,Member,No
5009,2025-09-30,20:32:51,Tuesday,Curry Leaves (Bunch),Fresh Produce,1,10,10,Cash,Member,No
